          subj           cond           chan            win           mean
  Subjects2021        POSCONc             Cz     +100..+120    -9.0162e+00 18_POSCONc.avr
  Subjects2021        POSCONc             Cz     +180..+220    -3.9959e+00 18_POSCONc.avr
  Subjects2021        POSCONc             Cz     +310..+370    -9.9359e-01 18_POSCONc.avr
  Subjects2021        POSCONc             Pz     +100..+120    -8.3403e+00 18_POSCONc.avr
  Subjects2021        POSCONc             Pz     +180..+220    -6.7372e+00 18_POSCONc.avr
  Subjects2021        POSCONc             Pz     +310..+370    -5.4167e-01 18_POSCONc.avr
  Subjects2021        POSCONc             F3     +100..+120    -7.5139e+00 19_POSCONc.avr
  Subjects2021        POSCONc             F3     +180..+220    -4.5340e+00 19_POSCONc.avr
  Subjects2021        POSCONc             F3     +310..+370    -8.2102e-01 19_POSCONc.avr
  Subjects2021        POSCONc             F1     +100..+120    -7.7047e+00 19_POSCONc.avr
  Subjects2021        POSCONc             F1     +180..+220    -4.3104e+00 19_POSCONc.avr
  Subjects2021        POSCONc             F1     +310..+370    -2.8376e-01 19_POSCONc.avr
  Subjects2021        POSCONc             Fz     +100..+120    -6.8992e+00 19_POSCONc.avr
  Subjects2021        POSCONc             Fz     +180..+220    -3.8655e+00 19_POSCONc.avr
  Subjects2021        POSCONc             Fz     +310..+370     1.9226e-01 19_POSCONc.avr
  Subjects2021        POSCONc             Cz     +100..+120    -5.3283e+00 19_POSCONc.avr
  Subjects2021        POSCONc             Cz     +180..+220    -2.1648e+00 19_POSCONc.avr
  Subjects2021        POSCONc             Cz     +310..+370     4.2452e-01 19_POSCONc.avr
  Subjects2021        POSCONc             Pz     +100..+120    -5.9966e+00 19_POSCONc.avr
  Subjects2021        POSCONc             Pz     +180..+220    -2.7879e+00 19_POSCONc.avr
  Subjects2021        POSCONc             Pz     +310..+370     2.9352e-01 19_POSCONc.avr
  Subjects2021        POSCONc             F3     +100..+120    -2.6253e+00 20_POSCONc.avr
  Subjects2021        POSCONc             F3     +180..+220    -1.4237e+00 20_POSCONc.avr
  Subjects2021        POSCONc             F3     +310..+370     1.0117e+00 20_POSCONc.avr
  Subjects2021        POSCONc             F1     +100..+120    -2.6287e+00 20_POSCONc.avr
  Subjects2021        POSCONc             F1     +180..+220    -1.4736e+00 20_POSCONc.avr
  Subjects2021        POSCONc             F1     +310..+370     1.0111e+00 20_POSCONc.avr
  Subjects2021        POSCONc             Fz     +100..+120    -2.5558e+00 20_POSCONc.avr
  Subjects2021        POSCONc             Fz     +180..+220    -3.6384e-01 20_POSCONc.avr
  Subjects2021        POSCONc             Fz     +310..+370     5.3644e-01 20_POSCONc.avr
  Subjects2021        POSCONc             Cz     +100..+120    -4.3188e+00 20_POSCONc.avr
  Subjects2021        POSCONc             Cz     +180..+220    -1.5068e+00 20_POSCONc.avr
  Subjects2021        POSCONc             Cz     +310..+370    -2.2783e+00 20_POSCONc.avr
  Subjects2021        POSCONc             Pz     +100..+120    -1.6746e+00 20_POSCONc.avr
  Subjects2021        POSCONc             Pz     +180..+220    -1.3558e-02 20_POSCONc.avr
  Subjects2021        POSCONc             Pz     +310..+370    -2.1942e+00 20_POSCONc.avr
  Subjects2021        POSCONc             F3     +100..+120    -8.4510e+00 21_POSCONc.avr
  Subjects2021        POSCONc             F3     +180..+220    -1.8718e+00 21_POSCONc.avr
  Subjects2021        POSCONc             F3     +310..+370    -2.0437e+00 21_POSCONc.avr
  Subjects2021        POSCONc             F1     +100..+120    -8.9872e+00 21_POSCONc.avr
  Subjects2021        POSCONc             F1     +180..+220    -1.5132e+00 21_POSCONc.avr
  Subjects2021        POSCONc             F1     +310..+370    -2.9231e+00 21_POSCONc.avr
  Subjects2021        POSCONc             Fz     +100..+120    -9.3045e+00 21_POSCONc.avr
  Subjects2021        POSCONc             Fz     +180..+220    -1.0019e+00 21_POSCONc.avr
  Subjects2021        POSCONc             Fz     +310..+370    -3.5238e+00 21_POSCONc.avr
  Subjects2021        POSCONc             Cz     +100..+120    -9.3223e+00 21_POSCONc.avr
  Subjects2021        POSCONc             Cz     +180..+220    -4.9413e+00 21_POSCONc.avr
  Subjects2021        POSCONc             Cz     +310..+370    -1.5742e+00 21_POSCONc.avr
  Subjects2021        POSCONc             Pz     +100..+120    -8.4453e+00 21_POSCONc.avr
  Subjects2021        POSCONc             Pz     +180..+220    -6.5494e+00 21_POSCONc.avr
  Subjects2021        POSCONc             Pz     +310..+370    -5.1036e-01 21_POSCONc.avr
  Subjects2021        POSCONc             F3     +100..+120    -1.5035e+00 22_POSCONc.avr
  Subjects2021        POSCONc             F3     +180..+220     3.9432e-01 22_POSCONc.avr
  Subjects2021        POSCONc             F3     +310..+370     3.1822e-01 22_POSCONc.avr
  Subjects2021        POSCONc             F1     +100..+120    -1.2515e+00 22_POSCONc.avr
  Subjects2021        POSCONc             F1     +180..+220     7.6353e-01 22_POSCONc.avr
  Subjects2021        POSCONc             F1     +310..+370     5.4389e-01 22_POSCONc.avr
  Subjects2021        POSCONc             Fz     +100..+120    -1.3239e+00 22_POSCONc.avr
  Subjects2021        POSCONc             Fz     +180..+220     6.8280e-01 22_POSCONc.avr
  Subjects2021        POSCONc             Fz     +310..+370     5.0690e-01 22_POSCONc.avr
  Subjects2021        POSCONc             Cz     +100..+120    -1.6480e+00 22_POSCONc.avr
  Subjects2021        POSCONc             Cz     +180..+220    -1.0742e+00 22_POSCONc.avr
  Subjects2021        POSCONc             Cz     +310..+370    -1.9053e-01 22_POSCONc.avr
  Subjects2021        POSCONc             Pz     +100..+120    -2.2469e+00 22_POSCONc.avr
  Subjects2021        POSCONc             Pz     +180..+220    -3.8978e+00 22_POSCONc.avr
  Subjects2021        POSCONc             Pz     +310..+370    -1.3503e+00 22_POSCONc.avr
  Subjects2021        POSCONc             F3     +100..+120    -9.7442e+00 23_POSCONc.avr
  Subjects2021        POSCONc             F3     +180..+220     2.1909e+00 23_POSCONc.avr
  Subjects2021        POSCONc             F3     +310..+370     1.0006e+00 23_POSCONc.avr
  Subjects2021        POSCONc             F1     +100..+120    -1.0086e+01 23_POSCONc.avr
  Subjects2021        POSCONc             F1     +180..+220     2.7231e+00 23_POSCONc.avr
  Subjects2021        POSCONc             F1     +310..+370     1.2925e+00 23_POSCONc.avr
  Subjects2021        POSCONc             Fz     +100..+120    -1.0414e+01 23_POSCONc.avr
  Subjects2021        POSCONc             Fz     +180..+220     2.3927e+00 23_POSCONc.avr
  Subjects2021        POSCONc             Fz     +310..+370     7.8377e-01 23_POSCONc.avr
  Subjects2021        POSCONc             Cz     +100..+120    -8.9870e+00 23_POSCONc.avr
  Subjects2021        POSCONc             Cz     +180..+220     2.8052e-01 23_POSCONc.avr
  Subjects2021        POSCONc             Cz     +310..+370     6.4818e-01 23_POSCONc.avr
  Subjects2021        POSCONc             Pz     +100..+120    -6.9808e+00 23_POSCONc.avr
  Subjects2021        POSCONc             Pz     +180..+220    -3.1021e+00 23_POSCONc.avr
  Subjects2021        POSCONc             Pz     +310..+370     6.3403e-01 23_POSCONc.avr
  Subjects2021        POSCONc             F3     +100..+120    -2.3449e+00 24_POSCONc.avr
  Subjects2021        POSCONc             F3     +180..+220     2.2570e+00 24_POSCONc.avr
  Subjects2021        POSCONc             F3     +310..+370     1.7617e+00 24_POSCONc.avr
  Subjects2021        POSCONc             F1     +100..+120    -3.2516e+00 24_POSCONc.avr
  Subjects2021        POSCONc             F1     +180..+220     1.9047e+00 24_POSCONc.avr
  Subjects2021        POSCONc             F1     +310..+370     1.9704e+00 24_POSCONc.avr
  Subjects2021        POSCONc             Fz     +100..+120    -3.5067e+00 24_POSCONc.avr
  Subjects2021        POSCONc             Fz     +180..+220     1.7393e+00 24_POSCONc.avr
  Subjects2021        POSCONc             Fz     +310..+370     2.1479e+00 24_POSCONc.avr
  Subjects2021        POSCONc             Cz     +100..+120    -4.7352e+00 24_POSCONc.avr
  Subjects2021        POSCONc             Cz     +180..+220    -1.3333e+00 24_POSCONc.avr
  Subjects2021        POSCONc             Cz     +310..+370     4.0326e-01 24_POSCONc.avr
  Subjects2021        POSCONc             Pz     +100..+120    -4.4934e+00 24_POSCONc.avr
  Subjects2021        POSCONc             Pz     +180..+220    -4.0687e+00 24_POSCONc.avr
  Subjects2021        POSCONc             Pz     +310..+370    -1.4331e+00 24_POSCONc.avr
  Subjects2021        POSCONc             F3     +100..+120    -4.6970e+00 25_POSCONc.avr
  Subjects2021        POSCONc             F3     +180..+220    -2.9160e+00 25_POSCONc.avr
  Subjects2021        POSCONc             F3     +310..+370    -3.6988e-02 25_POSCONc.avr
  Subjects2021        POSCONc             F1     +100..+120    -4.7115e+00 25_POSCONc.avr
  Subjects2021        POSCONc             F1     +180..+220    -2.9218e+00 25_POSCONc.avr
  Subjects2021        POSCONc             F1     +310..+370    -3.9600e-02 25_POSCONc.avr
  Subjects2021        POSCONc             Fz     +100..+120    -4.7211e+00 25_POSCONc.avr
  Subjects2021        POSCONc             Fz     +180..+220    -3.0420e+00 25_POSCONc.avr
  Subjects2021        POSCONc             Fz     +310..+370    -1.7071e-01 25_POSCONc.avr
  Subjects2021        POSCONc             Cz     +100..+120    -4.3351e+00 25_POSCONc.avr
  Subjects2021        POSCONc             Cz     +180..+220    -2.8890e+00 25_POSCONc.avr
  Subjects2021        POSCONc             Cz     +310..+370     1.5038e-01 25_POSCONc.avr
  Subjects2021        POSCONc             Pz     +100..+120    -3.7610e+00 25_POSCONc.avr
  Subjects2021        POSCONc             Pz     +180..+220    -2.4828e+00 25_POSCONc.avr
  Subjects2021        POSCONc             Pz     +310..+370     1.9203e-01 25_POSCONc.avr
  Subjects2021        POSCONc             F3     +100..+120    -7.8540e+00 26_POSCONc.avr
  Subjects2021        POSCONc             F3     +180..+220     1.0025e+00 26_POSCONc.avr
  Subjects2021        POSCONc             F3     +310..+370    -1.6981e-01 26_POSCONc.avr
  Subjects2021        POSCONc             F1     +100..+120    -8.9357e+00 26_POSCONc.avr
  Subjects2021        POSCONc             F1     +180..+220     1.6185e+00 26_POSCONc.avr
