          subj           cond           chan            win           mean
  subject_avgs        TWfourc             Fz     +210..+290    -1.5678e+00 10_TWfourc.avr
  subject_avgs        TWfourc             Cz     +210..+290    -1.3519e-01 10_TWfourc.avr
  subject_avgs        TWfourc             Pz     +210..+290    -2.0270e+00 10_TWfourc.avr
  subject_avgs        TWfourc             Fz     +210..+290    -3.5048e+00 11_TWfourc.avr
  subject_avgs        TWfourc             Cz     +210..+290    -1.4210e+00 11_TWfourc.avr
  subject_avgs        TWfourc             Pz     +210..+290    -6.4873e-01 11_TWfourc.avr
  subject_avgs        TWfourc             Fz     +210..+290     1.5139e+00 12_TWfourc.avr
  subject_avgs        TWfourc             Cz     +210..+290     2.8502e+00 12_TWfourc.avr
  subject_avgs        TWfourc             Pz     +210..+290    -4.2193e-01 12_TWfourc.avr
  subject_avgs        TWfourc             Fz     +210..+290     2.9375e+00 13_TWfourc.avr
  subject_avgs        TWfourc             Cz     +210..+290     4.3388e+00 13_TWfourc.avr
  subject_avgs        TWfourc             Pz     +210..+290     3.0325e+00 13_TWfourc.avr
  subject_avgs        TWfourc             Fz     +210..+290     3.2927e+00 14_TWfourc.avr
  subject_avgs        TWfourc             Cz     +210..+290     5.3128e+00 14_TWfourc.avr
  subject_avgs        TWfourc             Pz     +210..+290     4.0717e+00 14_TWfourc.avr
  subject_avgs        TWfourc             Fz     +210..+290    -1.8687e+00 16_TWfourc.avr
  subject_avgs        TWfourc             Cz     +210..+290    -1.8656e+00 16_TWfourc.avr
  subject_avgs        TWfourc             Pz     +210..+290    -3.3285e+00 16_TWfourc.avr
  subject_avgs        TWfourc             Fz     +210..+290     2.2921e+00 17_TWfourc.avr
  subject_avgs        TWfourc             Cz     +210..+290     2.5420e+00 17_TWfourc.avr
  subject_avgs        TWfourc             Pz     +210..+290     5.7734e-01 17_TWfourc.avr
  subject_avgs        TWfourc             Fz     +210..+290    -1.2580e+00 18_TWfourc.avr
  subject_avgs        TWfourc             Cz     +210..+290    -2.1425e+00 18_TWfourc.avr
  subject_avgs        TWfourc             Pz     +210..+290    -4.8488e+00 18_TWfourc.avr
  subject_avgs        TWfourc             Fz     +210..+290    -1.5500e+00 19_TWfourc.avr
  subject_avgs        TWfourc             Cz     +210..+290    -4.1663e-01 19_TWfourc.avr
  subject_avgs        TWfourc             Pz     +210..+290    -7.3848e-01 19_TWfourc.avr
  subject_avgs        TWfourc             Fz     +210..+290     1.8264e+00 20_TWfourc.avr
  subject_avgs        TWfourc             Cz     +210..+290    -3.4729e-01 20_TWfourc.avr
  subject_avgs        TWfourc             Pz     +210..+290    -7.8130e-01 20_TWfourc.avr
  subject_avgs        TWfourc             Fz     +210..+290     3.4529e+00 21_TWfourc.avr
  subject_avgs        TWfourc             Cz     +210..+290     2.0373e+00 21_TWfourc.avr
  subject_avgs        TWfourc             Pz     +210..+290    -5.5219e-01 21_TWfourc.avr
  subject_avgs        TWfourc             Fz     +210..+290     1.4023e+00 22_TWfourc.avr
  subject_avgs        TWfourc             Cz     +210..+290     2.9066e-01 22_TWfourc.avr
  subject_avgs        TWfourc             Pz     +210..+290    -1.6227e+00 22_TWfourc.avr
  subject_avgs        TWfourc             Fz     +210..+290     9.9675e-01 23_TWfourc.avr
