          subj           cond           chan            win           mean
  Subjects2021           YESc             Fz     +180..+220    -2.0101e-01    26_YESc.avr
  Subjects2021           YESc             Fz     +310..+370     5.6352e-01    26_YESc.avr
  Subjects2021           YESc             Cz     +100..+120    -4.8475e+00    26_YESc.avr
  Subjects2021           YESc             Cz     +180..+220    -1.6747e+00    26_YESc.avr
  Subjects2021           YESc             Cz     +310..+370     2.8146e-01    26_YESc.avr
  Subjects2021           YESc             Pz     +100..+120    -4.2922e+00    26_YESc.avr
  Subjects2021           YESc             Pz     +180..+220    -2.9264e+00    26_YESc.avr
  Subjects2021           YESc             Pz     +310..+370    -2.3777e-01    26_YESc.avr
  Subjects2021           YESc             Fz     +100..+120    -6.5282e+00    27_YESc.avr
  Subjects2021           YESc             Fz     +180..+220     5.8874e-01    27_YESc.avr
  Subjects2021           YESc             Fz     +310..+370     1.1248e+00    27_YESc.avr
  Subjects2021           YESc             Cz     +100..+120    -7.3425e+00    27_YESc.avr
  Subjects2021           YESc             Cz     +180..+220    -7.7242e-01    27_YESc.avr
  Subjects2021           YESc             Cz     +310..+370     5.4251e-01    27_YESc.avr
  Subjects2021           YESc             Pz     +100..+120    -8.1477e+00    27_YESc.avr
  Subjects2021           YESc             Pz     +180..+220    -2.5534e+00    27_YESc.avr
  Subjects2021           YESc             Pz     +310..+370     4.3864e-01    27_YESc.avr
  Subjects2021           YESc             Fz     +100..+120    -9.1194e+00    28_YESc.avr
  Subjects2021           YESc             Fz     +180..+220     4.1172e-01    28_YESc.avr
  Subjects2021           YESc             Fz     +310..+370    -6.2568e-01    28_YESc.avr
  Subjects2021           YESc             Cz     +100..+120    -9.0210e+00    28_YESc.avr
  Subjects2021           YESc             Cz     +180..+220     6.5634e-01    28_YESc.avr
  Subjects2021           YESc             Cz     +310..+370    -5.1613e-01    28_YESc.avr
  Subjects2021           YESc             Pz     +100..+120    -6.7016e+00    28_YESc.avr
  Subjects2021           YESc             Pz     +180..+220    -1.3881e+00    28_YESc.avr
  Subjects2021           YESc             Pz     +310..+370    -6.6450e-01    28_YESc.avr
  Subjects2021           YESc             Fz     +100..+120     1.6503e+00    29_YESc.avr
  Subjects2021           YESc             Fz     +180..+220    -1.3565e-01    29_YESc.avr
  Subjects2021           YESc             Fz     +310..+370    -8.2186e-01    29_YESc.avr
  Subjects2021           YESc             Cz     +100..+120    -2.7568e-01    29_YESc.avr
  Subjects2021           YESc             Cz     +180..+220    -1.9312e-01    29_YESc.avr
  Subjects2021           YESc             Cz     +310..+370    -9.4608e-01    29_YESc.avr
  Subjects2021           YESc             Pz     +100..+120    -1.4524e+00    29_YESc.avr
  Subjects2021           YESc             Pz     +180..+220    -1.5102e+00    29_YESc.avr
  Subjects2021           YESc             Pz     +310..+370    -1.0386e+00    29_YESc.avr
  Subjects2021           YESc             Fz     +100..+120    -4.4399e-01    30_YESc.avr
  Subjects2021           YESc             Fz     +180..+220     1.2823e+00    30_YESc.avr
  Subjects2021           YESc             Fz     +310..+370     3.7076e-01    30_YESc.avr
  Subjects2021           YESc             Cz     +100..+120    -5.5900e-01    30_YESc.avr
  Subjects2021           YESc             Cz     +180..+220     5.9401e-01    30_YESc.avr
  Subjects2021           YESc             Cz     +310..+370    -3.3557e-01    30_YESc.avr
  Subjects2021           YESc             Pz     +100..+120    -1.8400e+00    30_YESc.avr
  Subjects2021           YESc             Pz     +180..+220    -1.6404e+00    30_YESc.avr
  Subjects2021           YESc             Pz     +310..+370    -7.9262e-01    30_YESc.avr
  Subjects2021           YESc             Fz     +100..+120    -7.1374e+00    31_YESc.avr
  Subjects2021           YESc             Fz     +180..+220     2.3758e+00    31_YESc.avr
  Subjects2021           YESc             Fz     +310..+370    -1.0713e+00    31_YESc.avr
  Subjects2021           YESc             Cz     +100..+120    -6.9503e+00    31_YESc.avr
  Subjects2021           YESc             Cz     +180..+220     3.7545e+00    31_YESc.avr
  Subjects2021           YESc             Cz     +310..+370    -7.2633e-01    31_YESc.avr
  Subjects2021           YESc             Pz     +100..+120    -3.7859e+00    31_YESc.avr
  Subjects2021           YESc             Pz     +180..+220     1.4859e+00    31_YESc.avr
  Subjects2021           YESc             Pz     +310..+370    -1.1636e+00    31_YESc.avr
  Subjects2021            NOc             Fz     +100..+120     1.9433e-01     04_NOc.avr
  Subjects2021            NOc             Fz     +180..+220    -1.4161e+00     04_NOc.avr
  Subjects2021            NOc             Fz     +310..+370    -9.9644e-01     04_NOc.avr
  Subjects2021            NOc             Cz     +100..+120    -1.9513e-01     04_NOc.avr
  Subjects2021            NOc             Cz     +180..+220     4.0440e+00     04_NOc.avr
  Subjects2021            NOc             Cz     +310..+370    -6.2270e-01     04_NOc.avr
  Subjects2021            NOc             Pz     +100..+120    -8.3218e-01     04_NOc.avr
  Subjects2021            NOc             Pz     +180..+220    -3.6040e-01     04_NOc.avr
  Subjects2021            NOc             Pz     +310..+370    -1.4197e+00     04_NOc.avr
  Subjects2021            NOc             Fz     +100..+120    -5.3649e+00     06_NOc.avr
  Subjects2021            NOc             Fz     +180..+220    -2.9035e+00     06_NOc.avr
  Subjects2021            NOc             Fz     +310..+370    -8.9941e-01     06_NOc.avr
  Subjects2021            NOc             Cz     +100..+120    -5.2668e+00     06_NOc.avr
  Subjects2021            NOc             Cz     +180..+220    -3.4592e+00     06_NOc.avr
  Subjects2021            NOc             Cz     +310..+370    -1.8128e+00     06_NOc.avr
  Subjects2021            NOc             Pz     +100..+120    -4.0489e+00     06_NOc.avr
  Subjects2021            NOc             Pz     +180..+220    -5.4946e+00     06_NOc.avr
  Subjects2021            NOc             Pz     +310..+370    -2.7928e+00     06_NOc.avr
  Subjects2021            NOc             Fz     +100..+120    -5.6907e+00     07_NOc.avr
  Subjects2021            NOc             Fz     +180..+220    -3.8363e+00     07_NOc.avr
  Subjects2021            NOc             Fz     +310..+370    -1.9786e+00     07_NOc.avr
  Subjects2021            NOc             Cz     +100..+120    -4.4670e+00     07_NOc.avr
  Subjects2021            NOc             Cz     +180..+220    -2.9951e+00     07_NOc.avr
  Subjects2021            NOc             Cz     +310..+370    -1.2143e+00     07_NOc.avr
  Subjects2021            NOc             Pz     +100..+120    -1.8046e+00     07_NOc.avr
  Subjects2021            NOc             Pz     +180..+220    -2.6853e+00     07_NOc.avr
  Subjects2021            NOc             Pz     +310..+370    -3.7282e-01     07_NOc.avr
  Subjects2021            NOc             Fz     +100..+120    -5.4216e+00     08_NOc.avr
  Subjects2021            NOc             Fz     +180..+220    -4.4911e+00     08_NOc.avr
  Subjects2021            NOc             Fz     +310..+370     2.5679e+00     08_NOc.avr
  Subjects2021            NOc             Cz     +100..+120    -8.0229e+00     08_NOc.avr
  Subjects2021            NOc             Cz     +180..+220    -4.2847e+00     08_NOc.avr
  Subjects2021            NOc             Cz     +310..+370     1.3489e+00     08_NOc.avr
  Subjects2021            NOc             Pz     +100..+120    -7.1473e+00     08_NOc.avr
  Subjects2021            NOc             Pz     +180..+220    -6.3378e+00     08_NOc.avr
  Subjects2021            NOc             Pz     +310..+370    -1.0810e-02     08_NOc.avr
  Subjects2021            NOc             Fz     +100..+120    -9.7807e+00     09_NOc.avr
  Subjects2021            NOc             Fz     +180..+220    -4.4826e+00     09_NOc.avr
  Subjects2021            NOc             Fz     +310..+370    -6.1596e-01     09_NOc.avr
  Subjects2021            NOc             Cz     +100..+120    -9.9301e+00     09_NOc.avr
  Subjects2021            NOc             Cz     +180..+220    -3.2232e+00     09_NOc.avr
  Subjects2021            NOc             Cz     +310..+370    -1.2052e+00     09_NOc.avr
  Subjects2021            NOc             Pz     +100..+120    -5.1792e+00     09_NOc.avr
  Subjects2021            NOc             Pz     +180..+220    -8.2527e-01     09_NOc.avr
  Subjects2021            NOc             Pz     +310..+370    -1.0491e+00     09_NOc.avr
  Subjects2021            NOc             Fz     +100..+120    -1.3562e+00     10_NOc.avr
  Subjects2021            NOc             Fz     +180..+220    -3.4470e+00     10_NOc.avr
  Subjects2021            NOc             Fz     +310..+370     1.8148e+00     10_NOc.avr
  Subjects2021            NOc             Cz     +100..+120    -2.5642e+00     10_NOc.avr
  Subjects2021            NOc             Cz     +180..+220    -2.9959e+00     10_NOc.avr
