          subj           cond           chan            win           mean
  Subjects2021         TWonec             T7     +100..+120     1.2507e+00  16_TWonec.avr
  Subjects2021         TWonec             T7     +180..+220     1.3929e+00  16_TWonec.avr
  Subjects2021         TWonec             T7     +310..+370     2.4534e+00  16_TWonec.avr
  Subjects2021         TWonec             Cz     +100..+120    -3.4589e-01  16_TWonec.avr
  Subjects2021         TWonec             Cz     +180..+220    -1.4139e+00  16_TWonec.avr
  Subjects2021         TWonec             Cz     +310..+370     3.2907e+00  16_TWonec.avr
  Subjects2021         TWonec             T8     +100..+120    -2.4640e+00  16_TWonec.avr
  Subjects2021         TWonec             T8     +180..+220    -5.0254e-01  16_TWonec.avr
  Subjects2021         TWonec             T8     +310..+370     1.6270e-01  16_TWonec.avr
  Subjects2021         TWonec             Pz     +100..+120     2.0527e+00  16_TWonec.avr
  Subjects2021         TWonec             Pz     +180..+220    -2.6306e-01  16_TWonec.avr
  Subjects2021         TWonec             Pz     +310..+370     4.8347e+00  16_TWonec.avr
  Subjects2021         TWonec             M1     +100..+120     2.6089e+00  16_TWonec.avr
  Subjects2021         TWonec             M1     +180..+220     1.2926e+00  16_TWonec.avr
  Subjects2021         TWonec             M1     +310..+370     1.0090e+00  16_TWonec.avr
  Subjects2021         TWonec             M2     +100..+120    -4.8097e-01  16_TWonec.avr
  Subjects2021         TWonec             M2     +180..+220     1.0303e+00  16_TWonec.avr
  Subjects2021         TWonec             M2     +310..+370     2.7269e-01  16_TWonec.avr
  Subjects2021         TWonec             Fz     +100..+120    -1.7603e+00  17_TWonec.avr
  Subjects2021         TWonec             Fz     +180..+220    -6.8174e-01  17_TWonec.avr
  Subjects2021         TWonec             Fz     +310..+370     1.2850e+00  17_TWonec.avr
  Subjects2021         TWonec             T7     +100..+120    -1.2138e+00  17_TWonec.avr
  Subjects2021         TWonec             T7     +180..+220    -1.8144e+00  17_TWonec.avr
  Subjects2021         TWonec             T7     +310..+370    -5.5583e-01  17_TWonec.avr
  Subjects2021         TWonec             Cz     +100..+120    -3.5946e+00  17_TWonec.avr
  Subjects2021         TWonec             Cz     +180..+220     1.9952e-01  17_TWonec.avr
  Subjects2021         TWonec             Cz     +310..+370     1.7857e-02  17_TWonec.avr
  Subjects2021         TWonec             T8     +100..+120    -2.1638e+00  17_TWonec.avr
  Subjects2021         TWonec             T8     +180..+220     1.3881e+00  17_TWonec.avr
  Subjects2021         TWonec             T8     +310..+370     2.2112e-01  17_TWonec.avr
  Subjects2021         TWonec             Pz     +100..+120    -6.8853e-01  17_TWonec.avr
